Quantity,Profit per unit,Month,Year,Product ID,Product,Profit,,,,,Year,Month,Product,Profit
26,100,1,2003,CC,Classic Cars,2600,,,,,2003,1,Motorcycles,0
29,100,3,2003,CC,Classic Cars,2900,,,,,2003,2,Motorcycles,21135.86
38,100,5,2003,CC,Classic Cars,3800,,,,,2003,3,Motorcycles,12069.37
37,100,7,2003,CC,Classic Cars,3700,,,,,2003,4,Motorcycles,18549.37
45,100,9,2003,CC,Classic Cars,4500,,,,,2003,5,Motorcycles,18813.32
21,100,10,2003,CC,Classic Cars,2100,,,,,2003,6,Motorcycles,2300
34,100,11,2003,CC,Classic Cars,3400,,,,,2003,7,Motorcycles,32681.28
23,100,11,2003,CC,Classic Cars,2300,,,,,2003,8,Motorcycles,36804.44
42,100,11,2003,CC,Classic Cars,4200,,,,,2003,9,Motorcycles,3155.58
47,100,12,2003,CC,Classic Cars,4700,,,,,2003,10,Motorcycles,52903.39
35,100,1,2004,CC,Classic Cars,3500,,,,,2003,11,Motorcycles,92104.06
29,100,3,2004,CC,Classic Cars,2900,,,,,2003,12,Motorcycles,19659.84
34,100,5,2004,CC,Classic Cars,3400,,,,,2004,1,Motorcycles,35647.76
32,100,6,2004,CC,Classic Cars,3200,,,,,2004,2,Motorcycles,40704.31
21,100,7,2004,CC,Classic Cars,2100,,,,,2004,3,Motorcycles,0
34,100,8,2004,CC,Classic Cars,3400,,,,,2004,4,Motorcycles,30676.56
37,100,9,2004,CC,Classic Cars,3700,,,,,2004,5,Motorcycles,38821.82
47,100,10,2004,CC,Classic Cars,4700,,,,,2004,6,Motorcycles,40509.79
48,100,10,2004,CC,Classic Cars,4800,,,,,2004,7,Motorcycles,18713.88
40,100,11,2004,CC,Classic Cars,4000,,,,,2004,8,Motorcycles,54015.39
26,100,11,2004,CC,Classic Cars,2600,,,,,2004,9,Motorcycles,35038.48
30,100,11,2004,CC,Classic Cars,3000,,,,,2004,10,Motorcycles,33294.36
32,100,12,2004,CC,Classic Cars,3200,,,,,2004,11,Motorcycles,121818.99
41,100,1,2005,CC,Classic Cars,4100,,,,,2004,12,Motorcycles,19182.48
36,100,2,2005,CC,Classic Cars,3600,,,,,2005,1,Motorcycles,31890.58
24,100,3,2005,CC,Classic Cars,2400,,,,,2005,2,Motorcycles,38771.19
23,100,5,2005,CC,Classic Cars,2300,,,,,2005,3,Motorcycles,40329.6
50,100,5,2005,CC,Classic Cars,5000,,,,,2005,4,Motorcycles,49688.91
50,100,2,2003,CC,Classic Cars,5000,,,,,2005,5,Motorcycles,31805.68
46,100,4,2003,CC,Classic Cars,4600,,,,,2005,6,Motorcycles,0
33,100,6,2003,CC,Classic Cars,3300,,,,,2005,7,Motorcycles,0
49,100,8,2003,CC,Classic Cars,4900,,,,,2005,8,Motorcycles,0
32,100,10,2003,CC,Classic Cars,3200,,,,,2005,9,Motorcycles,0
44,100,10,2003,CC,Classic Cars,4400,,,,,2005,10,Motorcycles,0
24,100,11,2003,CC,Classic Cars,2400,,,,,2005,11,Motorcycles,0
26,100,11,2003,CC,Classic Cars,2600,,,,,2005,12,Motorcycles,0
45,100,11,2003,CC,Classic Cars,4500,,,,,2003,1,Classic Cars,29184.55
